Healthy State,,,,,,,,,,,,,Damaged State,,,,,,,,,
xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r,,,,xl,Pl,xr,Pr,exx_l,eyy_l,exy_l,exx_r,eyy_r,exy_r
,,,,,,,,,,,,,596,166.77,934,142.245,-106.2,23.1,-12.9,-114.5,24.9,-12
,,,,,,,,,,,,,625,166.77,961,58.86,-79.4,8.3,8.3,-90.5,22.2,-7.5
,,,,,,,,,,,,,622,171.675,960,63.765,-74.8,17.5,-3.7,-93.2,23.1,-7.5
,,,,,,,,,,,,,609,171.675,1001,313.92,-107.1,28.6,-37.9,-141.2,30.5,-14.9
,,,,,,,,,,,,,655,171.675,979,132.435,-68.3,23.1,-13.8,-102.5,24,-6.5
,,,,,,,,,,,,,646,171.675,996,142.245,-94.2,20.3,35.1,-100.6,24,21.2
,,,,,,,,,,,,,569,176.58,969,161.865,-107.1,24,-3.7,-124.6,29.5,-17.5
,,,,,,,,,,,,,616,176.58,951,98.1,-95.1,12,35.1,-103.4,23.1,19.3
,,,,,,,,,,,,,678,176.58,980,93.195,-72,39.7,-8.3,-93.2,24,17.2
,,,,,,,,,,,,,615,181.485,1009,181.485,-76.6,25.9,-37.9,-118.2,30.5,-8.3
,,,,,,,,,,,,,630,181.485,964,176.58,-96.9,27.7,-19.4,-122.8,27.7,-10.1
,,,,,,,,,,,,,644,181.485,975,117.72,-79.4,22.2,14.8,-104.3,24,21.3
,,,,,,,,,,,,,663,181.485,1004,132.435,-88.6,18.5,-18.5,-103.4,23.1,-8.3
,,,,,,,,,,,,,690,186.39,927,98.1,-84,17.5,16.7,-102.5,19.4,20.3
,,,,,,,,,,,,,652,186.39,1019,122.625,-90.5,12.9,25.8,-99.7,18.5,14.8
,,,,,,,,,,,,,654,191.295,988,210.915,-102.5,22.2,10.1,-127.4,26.8,15.6
,,,,,,,,,,,,,638,191.295,973,181.485,-92.3,21.2,12.1,-124.6,27.7,13.9
,,,,,,,,,,,,,653,191.295,982,240.345,-106.2,22.2,10.2,-134.8,32.3,13.9
,,,,,,,,,,,,,658,196.2,989,29.43,-72,17.5,6.5,-84,21.2,1.8
,,,,,,,,,,,,,662,196.2,1055,176.58,-94.2,13.9,13.9,-110.8,22.2,12.8
,,,,,,,,,,,,,652,196.2,905,107.91,-103.4,21.2,8.4,-116.3,26.8,8.3
,,,,,,,,,,,,,630,201.105,984,171.675,-110.8,30.5,2.7,-129.2,31.4,12.8
,,,,,,,,,,,,,649,201.105,1008,88.29,-95.1,16.6,13.9,-107.1,23.1,10.2
,,,,,,,,,,,,,650,206.01,978,206.01,-120.9,19.4,22.1,-133.8,27.7,8.3
,,,,,,,,,,,,,685,206.01,970,152.055,-102.5,24,10.1,-118.2,28.6,4.6
,,,,,,,,,,,,,588,210.915,968,44.145,-88.6,24.9,-10.1,-112.6,25.9,-5.7
,,,,,,,,,,,,,592,215.82,943,166.77,-112.6,50.8,-34.2,-144.9,34.2,-5.7
,,,,,,,,,,,,,611,220.725,947,206.01,-103.4,51.7,-62.7,-152.3,34.2,-14.9
,,,,,,,,,,,,,636,220.725,1010,181.485,-107.1,22.2,7.3,-133.8,38.8,-12
,,,,,,,,,,,,,619,225.63,1015,191.295,-96.9,21.2,-14.7,-136.6,29.5,-9.3
,,,,,,,,,,,,,631,230.535,985,103.005,-103.4,20.3,-9.3,-126.5,25.9,-4.6
,,,,,,,,,,,,,705,235.44,995,166.77,-111.7,42.5,-52.6,-126.5,30.5,-7.4
,,,,,,,,,,,,,674,245.25,1013,127.53,-105.2,34.2,-23.2,-129.2,26.8,-2.8
,,,,,,,,,,,,,647,250.155,945,93.195,-97.9,24.9,-23,-132,36,-16.6
,,,,,,,,,,,,,685,264.87,897,156.96,-118.2,57.2,-51.6,-155.1,36,-11.9
